Model,Parameters
SVR,"kernel=rbf, C=5, epsilon=0.01"
SVR,"kernel=rbf, C=5, epsilon=0.05"
SVR,"kernel=rbf, C=5, epsilon=0.1"
SVR,"kernel=rbf, C=10, epsilon=0.01"
SVR,"kernel=rbf, C=10, epsilon=0.05"
SVR,"kernel=rbf, C=10, epsilon=0.1"
SVR,"kernel=poly, C=1, epsilon=0.01"
SVR,"kernel=poly, C=1, epsilon=0.05"
SVR,"kernel=poly, C=1, epsilon=0.1"
SVR,"kernel=poly, C=2, epsilon=0.01"
SVR,"kernel=poly, C=2, epsilon=0.05"
SVR,"kernel=poly, C=2, epsilon=0.1"
SVR,"kernel=poly, C=3, epsilon=0.01"
SVR,"kernel=poly, C=3, epsilon=0.05"
SVR,"kernel=poly, C=3, epsilon=0.1"
SVR,"kernel=poly, C=5, epsilon=0.01"
SVR,"kernel=poly, C=5, epsilon=0.05"
SVR,"kernel=poly, C=5, epsilon=0.1"
SVR,"kernel=poly, C=10, epsilon=0.01"
SVR,"kernel=poly, C=10, epsilon=0.05"
SVR,"kernel=poly, C=10, epsilon=0.1"
SVR,"kernel=sigmoid, C=1, epsilon=0.01"
SVR,"kernel=sigmoid, C=1, epsilon=0.05"
SVR,"kernel=sigmoid, C=1, epsilon=0.1"
SVR,"kernel=sigmoid, C=2, epsilon=0.01"
SVR,"kernel=sigmoid, C=2, epsilon=0.05"
SVR,"kernel=sigmoid, C=2, epsilon=0.1"
SVR,"kernel=sigmoid, C=3, epsilon=0.01"
SVR,"kernel=sigmoid, C=3, epsilon=0.05"
SVR,"kernel=sigmoid, C=3, epsilon=0.1"
SVR,"kernel=sigmoid, C=5, epsilon=0.01"
SVR,"kernel=sigmoid, C=5, epsilon=0.05"
SVR,"kernel=sigmoid, C=5, epsilon=0.1"
SVR,"kernel=sigmoid, C=10, epsilon=0.01"
SVR,"kernel=sigmoid, C=10, epsilon=0.05"
SVR,"kernel=sigmoid, C=10, epsilon=0.1"
ElasticNetCV,"l1_ratio=0.3, selection=cyclic"
ElasticNetCV,"l1_ratio=0.3, selection=random"
ElasticNetCV,"l1_ratio=0.37777777777777777, selection=cyclic"
ElasticNetCV,"l1_ratio=0.37777777777777777, selection=random"
ElasticNetCV,"l1_ratio=0.45555555555555555, selection=cyclic"
ElasticNetCV,"l1_ratio=0.45555555555555555, selection=random"
ElasticNetCV,"l1_ratio=0.5333333333333333, selection=cyclic"
ElasticNetCV,"l1_ratio=0.5333333333333333, selection=random"
ElasticNetCV,"l1_ratio=0.6111111111111112, selection=cyclic"
ElasticNetCV,"l1_ratio=0.6111111111111112, selection=random"
ElasticNetCV,"l1_ratio=0.6888888888888889, selection=cyclic"
ElasticNetCV,"l1_ratio=0.6888888888888889, selection=random"
ElasticNetCV,"l1_ratio=0.7666666666666666, selection=cyclic"
ElasticNetCV,"l1_ratio=0.7666666666666666, selection=random"
ElasticNetCV,"l1_ratio=0.8444444444444446, selection=cyclic"
ElasticNetCV,"l1_ratio=0.8444444444444446, selection=random"
ElasticNetCV,"l1_ratio=0.9222222222222223, selection=cyclic"
ElasticNetCV,"l1_ratio=0.9222222222222223, selection=random"
ElasticNetCV,"l1_ratio=1.0, selection=cyclic"
ElasticNetCV,"l1_ratio=1.0, selection=random"
XGBRegressor,"learning_rate=0.1, reg_lambda=0.8, gamma=0.9, subsample=0.1"
XGBRegressor,"learning_rate=0.1, reg_lambda=0.8, gamma=0.9, subsample=1"
XGBRegressor,"learning_rate=0.1, reg_lambda=0.8, gamma=1.16467595, subsample=0.1"
XGBRegressor,"learning_rate=0.1, reg_lambda=0.8, gamma=1.16467595, subsample=1"
XGBRegressor,"learning_rate=0.1, reg_lambda=0.8, gamma=2.248149123539492, subsample=0.1"
XGBRegressor,"learning_rate=0.1, reg_lambda=0.8, gamma=2.248149123539492, subsample=1"
XGBRegressor,"learning_rate=0.1, reg_lambda=0.8, gamma=3.9963209507789, subsample=0.1"
XGBRegressor,"learning_rate=0.1, reg_lambda=0.8, gamma=3.9963209507789, subsample=1"
XGBRegressor,"learning_rate=0.1, reg_lambda=10, gamma=0.9, subsample=0.1"
XGBRegressor,"learning_rate=0.1, reg_lambda=10, gamma=0.9, subsample=1"
XGBRegressor,"learning_rate=0.1, reg_lambda=10, gamma=1.16467595, subsample=0.1"
XGBRegressor,"learning_rate=0.1, reg_lambda=10, gamma=1.16467595, subsample=1"
XGBRegressor,"learning_rate=0.1, reg_lambda=10, gamma=2.248149123539492, subsample=0.1"
XGBRegressor,"learning_rate=0.1, reg_lambda=10, gamma=2.248149123539492, subsample=1"
XGBRegressor,"learning_rate=0.1, reg_lambda=10, gamma=3.9963209507789, subsample=0.1"
XGBRegressor,"learning_rate=0.1, reg_lambda=10, gamma=3.9963209507789, subsample=1"
XGBRegressor,"learning_rate=1, reg_lambda=0.8, gamma=0.9, subsample=0.1"
XGBRegressor,"learning_rate=1, reg_lambda=0.8, gamma=0.9, subsample=1"
XGBRegressor,"learning_rate=1, reg_lambda=0.8, gamma=1.16467595, subsample=0.1"
XGBRegressor,"learning_rate=1, reg_lambda=0.8, gamma=1.16467595, subsample=1"
XGBRegressor,"learning_rate=1, reg_lambda=0.8, gamma=2.248149123539492, subsample=0.1"
XGBRegressor,"learning_rate=1, reg_lambda=0.8, gamma=2.248149123539492, subsample=1"
XGBRegressor,"learning_rate=1, reg_lambda=0.8, gamma=3.9963209507789, subsample=0.1"
XGBRegressor,"learning_rate=1, reg_lambda=0.8, gamma=3.9963209507789, subsample=1"
XGBRegressor,"learning_rate=1, reg_lambda=10, gamma=0.9, subsample=0.1"
XGBRegressor,"learning_rate=1, reg_lambda=10, gamma=0.9, subsample=1"
XGBRegressor,"learning_rate=1, reg_lambda=10, gamma=1.16467595, subsample=0.1"
XGBRegressor,"learning_rate=1, reg_lambda=10, gamma=1.16467595, subsample=1"
XGBRegressor,"learning_rate=1, reg_lambda=10, gamma=2.248149123539492, subsample=0.1"
XGBRegressor,"learning_rate=1, reg_lambda=10, gamma=2.248149123539492, subsample=1"
XGBRegressor,"learning_rate=1, reg_lambda=10, gamma=3.9963209507789, subsample=0.1"
XGBRegressor,"learning_rate=1, reg_lambda=10, gamma=3.9963209507789, subsample=1"
MLPRegressor,"learning_rate=constant, early_stopping=True, learning_rate_init=0.001, max_iter=25"
MLPRegressor,"learning_rate=constant, early_stopping=True, learning_rate_init=0.001, max_iter=50"
MLPRegressor,"learning_rate=constant, early_stopping=True, learning_rate_init=0.001, max_iter=100"
MLPRegressor,"learning_rate=constant, early_stopping=True, learning_rate_init=0.01, max_iter=25"
MLPRegressor,"learning_rate=constant, early_stopping=True, learning_rate_init=0.01, max_iter=50"
MLPRegressor,"learning_rate=constant, early_stopping=True, learning_rate_init=0.01, max_iter=100"
MLPRegressor,"learning_rate=constant, early_stopping=True, learning_rate_init=0.1, max_iter=25"
MLPRegressor,"learning_rate=constant, early_stopping=True, learning_rate_init=0.1, max_iter=50"
MLPRegressor,"learning_rate=constant, early_stopping=True, learning_rate_init=0.1, max_iter=100"
MLPRegressor,"learning_rate=constant, early_stopping=False, learning_rate_init=0.001, max_iter=25"
MLPRegressor,"learning_rate=constant, early_stopping=False, learning_rate_init=0.001, max_iter=50"
MLPRegressor,"learning_rate=constant, early_stopping=False, learning_rate_init=0.001, max_iter=100"
MLPRegressor,"learning_rate=constant, early_stopping=False, learning_rate_init=0.01, max_iter=25"
MLPRegressor,"learning_rate=constant, early_stopping=False, learning_rate_init=0.01, max_iter=50"
MLPRegressor,"learning_rate=constant, early_stopping=False, learning_rate_init=0.01, max_iter=100"
MLPRegressor,"learning_rate=constant, early_stopping=False, learning_rate_init=0.1, max_iter=25"
MLPRegressor,"learning_rate=constant, early_stopping=False, learning_rate_init=0.1, max_iter=50"
MLPRegressor,"learning_rate=constant, early_stopping=False, learning_rate_init=0.1, max_iter=100"
MLPRegressor,"learning_rate=adaptive, early_stopping=True, learning_rate_init=0.001, max_iter=25"
MLPRegressor,"learning_rate=adaptive, early_stopping=True, learning_rate_init=0.001, max_iter=50"
MLPRegressor,"learning_rate=adaptive, early_stopping=True, learning_rate_init=0.001, max_iter=100"
MLPRegressor,"learning_rate=adaptive, early_stopping=True, learning_rate_init=0.01, max_iter=25"
MLPRegressor,"learning_rate=adaptive, early_stopping=True, learning_rate_init=0.01, max_iter=50"
MLPRegressor,"learning_rate=adaptive, early_stopping=True, learning_rate_init=0.01, max_iter=100"
MLPRegressor,"learning_rate=adaptive, early_stopping=True, learning_rate_init=0.1, max_iter=25"
MLPRegressor,"learning_rate=adaptive, early_stopping=True, learning_rate_init=0.1, max_iter=50"
MLPRegressor,"learning_rate=adaptive, early_stopping=True, learning_rate_init=0.1, max_iter=100"
MLPRegressor,"learning_rate=adaptive, early_stopping=False, learning_rate_init=0.001, max_iter=25"
MLPRegressor,"learning_rate=adaptive, early_stopping=False, learning_rate_init=0.001, max_iter=50"
MLPRegressor,"learning_rate=adaptive, early_stopping=False, learning_rate_init=0.001, max_iter=100"
MLPRegressor,"learning_rate=adaptive, early_stopping=False, learning_rate_init=0.01, max_iter=25"
MLPRegressor,"learning_rate=adaptive, early_stopping=False, learning_rate_init=0.01, max_iter=50"
MLPRegressor,"learning_rate=adaptive, early_stopping=False, learning_rate_init=0.01, max_iter=100"
MLPRegressor,"learning_rate=adaptive, early_stopping=False, learning_rate_init=0.1, max_iter=25"
MLPRegressor,"learning_rate=adaptive, early_stopping=False, learning_rate_init=0.1, max_iter=50"
MLPRegressor,"learning_rate=adaptive, early_stopping=False, learning_rate_init=0.1, max_iter=100"
