model,hyperparameters,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,14256,2852,2851,0.4,5.036472525,4.700105226,5.331462645,0.203956637,5.036472525,4.700105226,5.331462645,0.203956637,5,4,1,0.5,1.881136294,0.01851002,2.988173686,0.368448001,8.75393858,0.08175216,16.95305085,1.739203767,1.0,1,1,0,3.4,1,4,1.2,4.0,4,4,0.0,5.0,5,5,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.052215312,0,0,0.500402424
Lasso,"{'alpha': 0.00447213595499958, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,1186,238,237,0.4,4.975357232,4.201680672,6.329113924,0.82148925,4.975357232,4.201680672,6.329113924,0.82148925,5,5,0,6.0,1.503973503,1.06e-08,3.641675912,0.404727982,8.33250594,1.199976759,22.89981279,2.787746122,0.0,0,0,0,4.2,4,5,0.4,4.4,4,5,0.489897949,5.0,5,5,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.219156874,0,0,0.0
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.3, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,1311,263,262,0.4,4.498302035,2.671755725,7.224334601,1.485746736,4.498302035,2.671755725,7.224334601,1.485746736,5,5,0,6.0,1.441772176,1.36e-07,3.695934503,0.763415543,8.29946246,0.352840322,21.48774213,4.079757706,0.0,0,0,0,3.6,2,4,0.8,4.0,4,4,0.0,4.8,4,5,0.4,3,3,3,0,1,1,1,0,0,0,0,0,0.239274747,0,0,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.3, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,38880,7776,7776,0.0,4.994855967,4.835390947,5.156893004,0.130540921,4.994855967,4.835390947,5.156893004,0.130540921,6,5,1,0.166666667,1.641250878,0.024770625,2.949317983,0.4377356,8.377731518,0.436268926,15.26008266,1.55472896,1.0,1,1,0,5.0,4,6,0.632455532,5.0,5,5,0.0,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.025538548,0,0,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 1.0, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,19440,3888,3888,0.0,5.020576132,4.938271605,5.221193416,0.102106138,5.020576132,4.938271605,5.221193416,0.102106138,6,5,1,0.166666667,0.347687108,0.029051903,0.882883302,0.10333701,0.888349867,0.152997089,2.250512418,0.191158647,1.0,1,1,0,1.8,1,5,1.6,5.2,5,6,0.4,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.057352642,0,0,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.3, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,6480,1296,1296,0.0,5.108024691,4.398148148,5.709876543,0.442984571,5.108024691,4.398148148,5.709876543,0.442984571,6,6,0,1.0,1.742082143,1.45e-05,3.050751758,0.257700075,8.896050903,0.174682581,15.36414964,1.435233024,0.0,0,0,0,3.4,0,6,2.416609195,5.0,5,5,0.0,6.0,6,6,0.0,5,5,5,0,3,3,3,0,0,0,0,0,0.0741422,0,0,0.673011667
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 1.0, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,5181,1037,1036,0.4,4.979540775,4.247104247,5.978784957,0.572613155,4.979540775,4.247104247,5.978784957,0.572613155,5,5,0,0.5,0.230086538,0.0,0.551213297,0.07896958,0.768318349,0.319710567,1.290438601,0.046605873,0.0,0,0,0,0.4,0,1,0.489897949,4.6,4,5,0.489897949,5.0,5,5,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.134208481,0,0,0.0
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.3, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,47301,9461,9460,0.4,4.961840675,4.640591966,5.23255814,0.190241886,4.961840675,4.640591966,5.23255814,0.190241886,6,5,1,0.166666667,1.853967126,0.029294872,3.136974101,0.520545615,9.374827719,0.410556359,17.47301695,2.515039145,1.0,1,1,0,4.2,1,5,1.6,5.0,5,5,0.0,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.02263766,0,0,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.3, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,7776,1556,1555,0.4,4.951049356,3.8585209,5.59125964,0.590018924,4.951049356,3.8585209,5.59125964,0.590018924,2,1,1,0.166666667,0.350875207,0.019296838,1.328222967,0.0,1.125126816,0.943013077,1.327923697,0.0,1.0,1,1,0,0.8,0,1,0.4,1.0,1,1,0.0,2.0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.055424658,0,0,0.500402424
Lasso,"{'alpha': 0.14624970427685605, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,11661,2333,2332,0.4,5.033889919,4.674099485,5.488850772,0.312552853,5.033889919,4.674099485,5.488850772,0.312552853,6,5,1,0.166666667,0.812257926,0.002455436,3.400705668,0.542172486,3.578133279,0.617044501,15.31125249,2.357282209,1.0,1,1,0,1.0,0,4,1.549193338,5.0,5,5,0.0,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.065406621,0,0,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 0.3, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'verbose': 0}",5,38880,7776,7776,0.0,5.012860082,4.861111111,5.156893004,0.119647154,5.012860082,4.861111111,5.156893004,0.119647154,6,5,1,0.166666667,1.835895151,0.060767462,4.545456817,0.687501558,8.239394303,0.232055986,24.09645335,4.135557561,1.0,1,1,0,4.6,1,6,1.854723699,5.4,5,6,0.489897949,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.040527563,0,0,0.500402424
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,12960,2592,2592,0.0,4.922839506,4.552469136,5.439814815,0.295435027,4.922839506,4.552469136,5.439814815,0.295435027,5,4,1,0.5,2.370267393,0.001253655,4.540150469,0.781575472,10.60737916,0.033713868,24.09808462,4.178525001,1.0,1,1,0,3.6,1,5,1.356465997,4.4,4,5,0.489897949,5.0,5,5,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.055659667,0,0,0.500402424
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,23326,4666,4665,0.4,5.024440331,4.63022508,5.594855305,0.314701881,5.024440331,4.63022508,5.594855305,0.314701881,5,4,1,0.166666667,1.992275377,0.001336455,4.588950761,0.873858514,9.522522525,0.664793225,25.37845047,5.168431059,1.0,1,1,0,2.8,1,4,1.469693846,4.2,4,5,0.4,5.0,5,5,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.032313346,0,0,0.673011667
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,11661,2333,2332,0.4,4.97387767,4.586369481,5.317324185,0.256450338,4.97387767,4.586369481,5.317324185,0.256450338,6,5,1,0.166666667,0.302338094,0.025298971,0.722012962,0.077174425,0.700572017,0.015122695,1.339761529,0.183143071,1.0,1,1,0,0.2,0,1,0.4,5.6,5,6,0.489897949,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.060766355,0,0,0.0
Lasso,"{'alpha': 0.0018701222535385973, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,12960,2592,2592,0.0,4.992283951,4.591049383,5.478395062,0.327909404,4.992283951,4.591049383,5.478395062,0.327909404,6,5,1,0.5,1.651096046,0.008003733,2.848586227,0.331454858,8.092889248,0.383060132,14.98588752,1.524801832,1.0,1,1,0,4.4,1,6,1.743559577,5.0,5,5,0.0,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.050589117,0,0,0.500402424
Lasso,"{'alpha': 0.0007820328537352371, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,11661,2333,2332,0.4,4.991008272,4.502572899,5.317324185,0.289272379,4.991008272,4.502572899,5.317324185,0.289272379,5,4,1,0.166666667,0.33265815,0.145111946,0.619663792,0.001624784,0.567186144,0.215864943,1.041225368,0.003293496,1.0,1,1,0,0.0,0,0,0.0,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.065098522,0,0,0.0
Lasso,"{'alpha': 0.0018701222535385973, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,42766,8554,8553,0.4,4.992289615,4.734627075,5.495147901,0.26866153,4.992289615,4.734627075,5.495147901,0.26866153,5,4,1,0.166666667,1.764524204,0.049801716,2.965099398,0.433066817,8.435020351,0.156389478,15.41015562,1.588800204,1.0,1,1,0,4.0,4,4,0.0,4.0,4,4,0.0,5.0,5,5,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.024300951,0,0,0.0
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,7776,1556,1555,0.4,5.04108151,4.372990354,5.852090032,0.596541144,5.04108151,4.372990354,5.852090032,0.596541144,3,2,1,0.166666667,0.274927836,0.065071483,0.527658608,0.039588958,0.984923042,0.227563259,1.339423837,0.191635741,1.0,1,1,0,1.0,1,1,0.0,2.0,2,2,0.0,3.0,3,3,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.073775181,0,0,0.0
Lasso,"{'alpha': 0.0018701222535385973, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,11661,2333,2332,0.4,4.982446647,4.672096014,5.360205832,0.239120095,4.982446647,4.672096014,5.360205832,0.239120095,5,4,1,0.5,1.271240446,0.026806879,2.465352135,0.365806523,5.823301844,0.844181073,11.27046887,1.856727454,1.0,1,1,0,3.6,1,5,1.356465997,4.0,4,4,0.0,5.0,5,5,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.063028472,0,0,0.500402424
Lasso,"{'alpha': 0.14624970427685605, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,2591,519,518,0.4,5.094814054,4.054054054,6.177606178,0.760053687,5.094814054,4.054054054,6.177606178,0.760053687,2,2,0,0.5,0.247375604,0.019297432,0.414218955,0.029178568,1.190129941,0.896666128,1.435219008,0.117388551,0.0,0,0,0,0.0,0,0,0.0,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.17903483,0,0,0.0
Lasso,"{'alpha': 0.06115753843212782, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,7776,1556,1555,0.4,4.86100067,4.180064309,5.719794344,0.639002925,4.86100067,4.180064309,5.719794344,0.639002925,1,0,1,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0.0,0,0,0.0,1.0,1,1,0.0,1.0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.087367042,0,0,0.0
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,47301,9461,9460,0.4,4.997771423,4.661733615,5.411690096,0.275513878,4.997771423,4.661733615,5.411690096,0.275513878,6,5,1,0.166666667,0.852128513,0.058651096,1.854500454,0.088767854,1.381374874,0.304714292,3.539887642,0.346902522,1.0,1,1,0,4.4,1,6,1.743559577,5.2,5,6,0.4,6.0,6,6,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.057987902,0,0,0.500402424
ElasticNetCV,"{'alphas': None, 'copy_X': True, 'cv': None, 'eps': 0.001, 'fit_intercept': True, 'l1_ratio': 1.0, 'max_iter': 1000, 'n_alphas': 100, 'n_jobs': None, 'positive': False, 'precompute': 'auto', 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'verbose': 0}",5,9071,1815,1814,0.4,4.971987085,4.077134986,6.229327453,0.787415284,4.971987085,4.077134986,6.229327453,0.787415284,6,5,1,0.5,1.404733951,0.024362524,4.235669148,0.002806575,5.377921203,0.815416915,21.01509255,0.01505724,1.0,1,1,0,3.0,1,6,2.449489743,6.0,6,6,0.0,6.0,6,6,0.0,5,5,5,0,3,3,3,0,0,0,0,0,0.122294351,0,0,0.673011667
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,9071,1815,1814,0.4,4.883668802,4.630650496,5.123966942,0.157379394,4.883668802,4.630650496,5.123966942,0.157379394,4,3,1,0.5,0.069860152,0.003960672,0.186286183,0.000398321,1.086127515,0.796935987,1.293534084,0.000521585,1.0,1,1,0,1.6,1,4,1.2,4.0,4,4,0.0,4.0,4,4,0.0,3,3,3,0,1,1,1,0,0,0,0,0,0.181981742,0,0,0.500402424
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'random', 'tol': 0.0001, 'warm_start': False}",5,12960,2592,2592,0.0,4.953703704,4.668209877,5.208333333,0.225752143,4.953703704,4.668209877,5.208333333,0.225752143,5,4,1,0.5,0.129228373,0.033350044,0.348657126,0.000620875,0.802158185,0.269703366,1.159342766,0.000726345,1.0,1,1,0,5.0,5,5,0.0,5.0,5,5,0.0,5.0,5,5,0.0,4,4,4,0,2,2,2,0,0,0,0,0,0.168658237,0,0,0.0
Lasso,"{'alpha': 1e-05, 'copy_X': True, 'fit_intercept': True, 'max_iter': 1000, 'positive': False, 'precompute': False, 'random_state': None, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",5,6480,1296,1296,0.0,5.015432099,4.166666667,6.172839506,0.669119858,5.015432099,4.166666667,6.172839506,0.669119858,2,1,1,0.5,0.124810674,0.023288721,0.393333227,0.0,1.134993385,0.732136853,1.269786087,0.0,1.0,1,1,0,1.4,1,2,0.489897949,2.0,2,2,0.0,2.0,2,2,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.177281542,0,0,0.673011667
