id,data_type,daily_seasonality,weekly_seasonality,noise (high 30% - low 10%),trend,cyclic_period (3 months),data_size,percentage_outliers,percentage_missing,freq
43.csv,multiplicative,no,exist,small,exist,exist,90,0.05,0.05,6H
44.csv,multiplicative,no,exist,small,exist,exist,90,0.05,0.05,1D
45.csv,multiplicative,no,exist,small,exist,exist,300,0.05,0.05,30T
46.csv,multiplicative,no,exist,small,exist,exist,210,0.05,0.05,1D
47.csv,multiplicative,no,exist,small,exist,exist,365,0.05,0.05,8H
48.csv,multiplicative,no,exist,small,exist,exist,180,0.05,0.05,10T
49.csv,additive,no,exist,small,exist,exist,90,0.05,0.05,10T
50.csv,additive,no,exist,small,exist,exist,365,0.05,0.05,1D
51.csv,additive,no,exist,small,exist,exist,300,0.05,0.05,30T
52.csv,additive,no,exist,small,exist,exist,90,0.05,0.05,10T
53.csv,additive,no,exist,small,exist,exist,180,0.05,0.05,1D
54.csv,additive,no,exist,small,exist,exist,330,0.05,0.05,10T
55.csv,additive,no,exist,small,exist,exist,210,0.05,0.05,1D
56.csv,additive,no,exist,small,exist,exist,60,0.05,0.05,10T
57.csv,additive,no,exist,small,exist,exist,330,0.05,0.05,1D
58.csv,additive,no,exist,small,exist,exist,150,0.05,0.05,1H
59.csv,additive,no,exist,small,exist,exist,60,0.05,0.05,8H
60.csv,additive,no,exist,small,exist,exist,270,0.05,0.05,30T
61.csv,additive,no,exist,small,exist,exist,150,0.05,0.05,1D
62.csv,additive,no,exist,small,exist,exist,90,0.05,0.05,8H
63.csv,additive,no,exist,small,exist,exist,120,0.05,0.05,8H
64.csv,additive,no,exist,small,exist,exist,60,0.05,0.05,1D
65.csv,multiplicative,no,exist,small,no,exist,120,0.05,0.05,6H
66.csv,multiplicative,no,exist,small,no,exist,180,0.05,0.05,1D
67.csv,multiplicative,no,exist,small,no,exist,270,0.05,0.05,8H
68.csv,multiplicative,no,exist,small,no,exist,60,0.05,0.05,30T
69.csv,multiplicative,no,exist,small,no,exist,60,0.05,0.05,10T
70.csv,multiplicative,no,exist,small,no,exist,365,0.05,0.05,1H
71.csv,multiplicative,no,exist,small,no,exist,365,0.05,0.05,10T
72.csv,multiplicative,no,exist,small,no,exist,270,0.05,0.05,6H
73.csv,multiplicative,no,exist,small,no,exist,240,0.05,0.05,10T
74.csv,multiplicative,no,exist,small,no,exist,210,0.05,0.05,30T
75.csv,multiplicative,no,exist,small,no,exist,180,0.05,0.05,8H
76.csv,multiplicative,no,exist,small,no,exist,60,0.05,0.05,8H
77.csv,multiplicative,no,exist,small,no,exist,240,0.05,0.05,6H
78.csv,multiplicative,no,exist,small,no,exist,365,0.05,0.05,1D
79.csv,multiplicative,no,exist,small,no,exist,120,0.05,0.05,6H
80.csv,multiplicative,no,exist,small,no,exist,300,0.05,0.05,8H
81.csv,additive,no,exist,small,no,exist,210,0.05,0.05,30T
82.csv,additive,no,exist,small,no,exist,300,0.05,0.05,30T
83.csv,additive,no,exist,small,no,exist,150,0.05,0.05,30T
84.csv,additive,no,exist,small,no,exist,180,0.05,0.05,6H
85.csv,additive,no,exist,small,no,exist,120,0.05,0.05,30T
86.csv,additive,no,exist,small,no,exist,300,0.05,0.05,1H
87.csv,additive,no,exist,small,no,exist,270,0.05,0.05,10T
88.csv,additive,no,exist,small,no,exist,300,0.05,0.05,10T
89.csv,additive,no,exist,small,no,exist,270,0.05,0.05,1H
90.csv,additive,no,exist,small,no,exist,210,0.05,0.05,1D
91.csv,additive,no,exist,small,no,exist,240,0.05,0.05,8H
92.csv,additive,no,exist,small,no,exist,365,0.05,0.05,6H
93.csv,additive,no,exist,small,no,exist,150,0.05,0.05,8H
94.csv,additive,no,exist,small,no,exist,120,0.05,0.05,1D
95.csv,additive,no,exist,small,no,exist,60,0.05,0.05,1H
96.csv,additive,no,exist,small,no,exist,210,0.05,0.05,10T
97.csv,multiplicative,no,exist,small,no,exist,60,0.05,0.05,6H
98.csv,multiplicative,no,exist,small,no,exist,300,0.05,0.05,10T
99.csv,multiplicative,no,exist,small,no,exist,150,0.05,0.05,6H
100.csv,multiplicative,no,exist,small,no,exist,210,0.05,0.05,6H
101.csv,multiplicative,no,exist,small,no,exist,60,0.05,0.05,6H
102.csv,multiplicative,no,exist,small,no,exist,210,0.05,0.05,1D
103.csv,multiplicative,no,exist,small,no,exist,90,0.05,0.05,6H
104.csv,multiplicative,no,exist,small,no,exist,365,0.05,0.05,1D
105.csv,multiplicative,no,exist,small,no,exist,365,0.05,0.05,1D
106.csv,multiplicative,no,exist,small,no,exist,90,0.05,0.05,6H
107.csv,multiplicative,no,exist,small,no,exist,90,0.05,0.05,10T
108.csv,multiplicative,no,exist,small,no,exist,180,0.05,0.05,6H
109.csv,multiplicative,no,exist,small,no,exist,180,0.05,0.05,30T
110.csv,multiplicative,no,exist,small,no,exist,240,0.05,0.05,6H
111.csv,multiplicative,no,exist,small,no,exist,330,0.05,0.05,6H
112.csv,multiplicative,no,exist,small,no,exist,300,0.05,0.05,30T
113.csv,additive,no,exist,small,no,exist,210,0.05,0.05,8H
114.csv,additive,no,exist,small,no,exist,60,0.05,0.05,10T
115.csv,additive,no,exist,small,no,exist,300,0.05,0.05,8H
116.csv,additive,no,exist,small,no,exist,210,0.05,0.05,8H
117.csv,additive,no,exist,small,no,exist,180,0.05,0.05,1D
118.csv,additive,no,exist,small,no,exist,150,0.05,0.05,10T
119.csv,additive,no,exist,small,no,exist,60,0.05,0.05,1D
120.csv,additive,no,exist,small,no,exist,210,0.05,0.05,30T
121.csv,additive,no,exist,small,no,exist,60,0.05,0.05,30T
122.csv,additive,no,exist,small,no,exist,90,0.05,0.05,1D
123.csv,additive,no,exist,small,no,exist,270,0.05,0.05,30T
124.csv,additive,no,exist,small,no,exist,120,0.05,0.05,10T
125.csv,additive,no,exist,small,no,exist,270,0.05,0.05,30T
126.csv,additive,no,exist,small,no,exist,240,0.05,0.05,1H
127.csv,additive,no,exist,small,no,exist,210,0.05,0.05,10T
128.csv,additive,no,exist,small,no,exist,240,0.05,0.05,30T
129.csv,multiplicative,no,no,small,exist,exist,150,0.05,0.05,6H
130.csv,multiplicative,no,no,small,exist,exist,330,0.05,0.05,30T
131.csv,multiplicative,no,no,small,exist,exist,270,0.05,0.05,30T
132.csv,multiplicative,no,no,small,exist,exist,90,0.05,0.05,10T
133.csv,multiplicative,no,no,small,exist,exist,180,0.05,0.05,6H
134.csv,multiplicative,no,no,small,exist,exist,270,0.05,0.05,1D
135.csv,multiplicative,no,no,small,exist,exist,150,0.05,0.05,10T
136.csv,multiplicative,no,no,small,exist,exist,300,0.05,0.05,1H
137.csv,multiplicative,no,no,small,exist,exist,120,0.05,0.05,6H
138.csv,multiplicative,no,no,small,exist,exist,90,0.05,0.05,8H
139.csv,multiplicative,no,no,small,exist,exist,150,0.05,0.05,1H
140.csv,multiplicative,no,no,small,exist,exist,365,0.05,0.05,6H
141.csv,multiplicative,no,no,small,exist,exist,240,0.05,0.05,8H
142.csv,multiplicative,no,no,small,exist,exist,240,0.05,0.05,8H
143.csv,multiplicative,no,no,small,exist,exist,365,0.05,0.05,1H
144.csv,multiplicative,no,no,small,exist,exist,150,0.05,0.05,30T
145.csv,additive,no,no,small,exist,exist,90,0.05,0.05,1D
146.csv,additive,no,no,small,exist,exist,270,0.05,0.05,1D
147.csv,additive,no,no,small,exist,exist,330,0.05,0.05,1H
148.csv,additive,no,no,small,exist,exist,365,0.05,0.05,10T
149.csv,additive,no,no,small,exist,exist,120,0.05,0.05,6H
150.csv,additive,no,no,small,exist,exist,300,0.05,0.05,10T
151.csv,additive,no,no,small,exist,exist,210,0.05,0.05,8H
152.csv,additive,no,no,small,exist,exist,270,0.05,0.05,6H
153.csv,additive,no,no,small,exist,exist,240,0.05,0.05,8H
154.csv,additive,no,no,small,exist,exist,300,0.05,0.05,1H
155.csv,additive,no,no,small,exist,exist,150,0.05,0.05,10T
156.csv,additive,no,no,small,exist,exist,365,0.05,0.05,6H
157.csv,additive,no,no,small,exist,exist,365,0.05,0.05,30T
158.csv,additive,no,no,small,exist,exist,330,0.05,0.05,10T
159.csv,additive,no,no,small,exist,exist,210,0.05,0.05,1H
160.csv,additive,no,no,small,exist,exist,90,0.05,0.05,6H
161.csv,multiplicative,no,no,small,exist,exist,210,0.05,0.05,1H
162.csv,multiplicative,no,no,small,exist,exist,120,0.05,0.05,8H
163.csv,multiplicative,no,no,small,exist,exist,60,0.05,0.05,6H
164.csv,multiplicative,no,no,small,exist,exist,365,0.05,0.05,1D
165.csv,multiplicative,no,no,small,exist,exist,365,0.05,0.05,6H
166.csv,multiplicative,no,no,small,exist,exist,240,0.05,0.05,10T
167.csv,multiplicative,no,no,small,exist,exist,210,0.05,0.05,6H
168.csv,multiplicative,no,no,small,exist,exist,60,0.05,0.05,1D
169.csv,multiplicative,no,no,small,exist,exist,270,0.05,0.05,30T
170.csv,multiplicative,no,no,small,exist,exist,270,0.05,0.05,10T
171.csv,multiplicative,no,no,small,exist,exist,90,0.05,0.05,30T
172.csv,multiplicative,no,no,small,exist,exist,90,0.05,0.05,1H
173.csv,multiplicative,no,no,small,exist,exist,120,0.05,0.05,8H
174.csv,multiplicative,no,no,small,exist,exist,300,0.05,0.05,8H
175.csv,multiplicative,no,no,small,exist,exist,365,0.05,0.05,1H
176.csv,multiplicative,no,no,small,exist,exist,210,0.05,0.05,8H
177.csv,additive,no,no,small,exist,exist,150,0.05,0.05,10T
178.csv,additive,no,no,small,exist,exist,330,0.05,0.05,1D
179.csv,additive,no,no,small,exist,exist,90,0.05,0.05,1D
180.csv,additive,no,no,small,exist,exist,365,0.05,0.05,30T
181.csv,additive,no,no,small,exist,exist,90,0.05,0.05,10T
182.csv,additive,no,no,small,exist,exist,180,0.05,0.05,1D
183.csv,additive,no,no,small,exist,exist,330,0.05,0.05,6H
184.csv,additive,no,no,small,exist,exist,120,0.05,0.05,8H
185.csv,additive,no,no,small,exist,exist,240,0.05,0.05,6H
186.csv,additive,no,no,small,exist,exist,60,0.05,0.05,8H
187.csv,additive,no,no,small,exist,exist,300,0.05,0.05,1D
188.csv,additive,no,no,small,exist,exist,270,0.05,0.05,1D
189.csv,additive,no,no,small,exist,exist,365,0.05,0.05,1H
190.csv,additive,no,no,small,exist,exist,90,0.05,0.05,30T
191.csv,additive,no,no,small,exist,exist,270,0.05,0.05,1H
192.csv,additive,no,no,small,exist,exist,180,0.05,0.05,1D
193.csv,multiplicative,no,no,small,no,exist,180,0.05,0.05,8H
194.csv,multiplicative,no,no,small,no,exist,90,0.05,0.05,1D
195.csv,multiplicative,no,no,small,no,exist,270,0.05,0.05,10T
196.csv,multiplicative,no,no,small,no,exist,210,0.05,0.05,1H
197.csv,multiplicative,no,no,small,no,exist,120,0.05,0.05,1H
198.csv,multiplicative,no,no,small,no,exist,150,0.05,0.05,10T
199.csv,multiplicative,no,no,small,no,exist,90,0.05,0.05,1D
200.csv,multiplicative,no,no,small,no,exist,90,0.05,0.05,10T
201.csv,multiplicative,no,no,small,no,exist,180,0.05,0.05,1H
202.csv,multiplicative,no,no,small,no,exist,365,0.05,0.05,1H
203.csv,multiplicative,no,no,small,no,exist,365,0.05,0.05,30T
204.csv,multiplicative,no,no,small,no,exist,180,0.05,0.05,6H
205.csv,multiplicative,no,no,small,no,exist,365,0.05,0.05,30T
206.csv,multiplicative,no,no,small,no,exist,180,0.05,0.05,30T
207.csv,multiplicative,no,no,small,no,exist,180,0.05,0.05,1D
208.csv,multiplicative,no,no,small,no,exist,300,0.05,0.05,1H
209.csv,additive,no,no,small,no,exist,150,0.05,0.05,10T
210.csv,additive,no,no,small,no,exist,150,0.05,0.05,1H
211.csv,additive,no,no,small,no,exist,240,0.05,0.05,10T
212.csv,additive,no,no,small,no,exist,90,0.05,0.05,30T
213.csv,additive,no,no,small,no,exist,210,0.05,0.05,8H
214.csv,additive,no,no,small,no,exist,60,0.05,0.05,1H
215.csv,additive,no,no,small,no,exist,300,0.05,0.05,6H
216.csv,additive,no,no,small,no,exist,300,0.05,0.05,1H
217.csv,additive,no,no,small,no,exist,150,0.05,0.05,1D
218.csv,additive,no,no,small,no,exist,150,0.05,0.05,10T
219.csv,additive,no,no,small,no,exist,180,0.05,0.05,1D
220.csv,additive,no,no,small,no,exist,60,0.05,0.05,1H
221.csv,additive,no,no,small,no,exist,90,0.05,0.05,6H
222.csv,additive,no,no,small,no,exist,210,0.05,0.05,10T
223.csv,additive,no,no,small,no,exist,90,0.05,0.05,8H
224.csv,additive,no,no,small,no,exist,150,0.05,0.05,30T
225.csv,multiplicative,no,no,small,no,exist,240,0.05,0.05,10T
226.csv,multiplicative,no,no,small,no,exist,120,0.05,0.05,30T
227.csv,multiplicative,no,no,small,no,exist,365,0.05,0.05,10T
228.csv,multiplicative,no,no,small,no,exist,330,0.05,0.05,1H
229.csv,multiplicative,no,no,small,no,exist,365,0.05,0.05,1H
230.csv,multiplicative,no,no,small,no,exist,90,0.05,0.05,30T
231.csv,multiplicative,no,no,small,no,exist,120,0.05,0.05,30T
232.csv,multiplicative,no,no,small,no,exist,120,0.05,0.05,1D
233.csv,multiplicative,no,no,small,no,exist,180,0.05,0.05,10T
234.csv,multiplicative,no,no,small,no,exist,365,0.05,0.05,30T
235.csv,multiplicative,no,no,small,no,exist,210,0.05,0.05,8H
236.csv,multiplicative,no,no,small,no,exist,180,0.05,0.05,6H
237.csv,multiplicative,no,no,small,no,exist,90,0.05,0.05,8H
238.csv,multiplicative,no,no,small,no,exist,180,0.05,0.05,8H
239.csv,multiplicative,no,no,small,no,exist,240,0.05,0.05,6H
240.csv,multiplicative,no,no,small,no,exist,150,0.05,0.05,10T
241.csv,additive,no,no,small,no,exist,365,0.05,0.05,10T
242.csv,additive,no,no,small,no,exist,120,0.05,0.05,10T
243.csv,additive,no,no,small,no,exist,210,0.05,0.05,30T
244.csv,additive,no,no,small,no,exist,120,0.05,0.05,1D
245.csv,additive,no,no,small,no,exist,365,0.05,0.05,10T
246.csv,additive,no,no,small,no,exist,60,0.05,0.05,6H
247.csv,additive,no,no,small,no,exist,270,0.05,0.05,6H
248.csv,additive,no,no,small,no,exist,180,0.05,0.05,1D
249.csv,additive,no,no,small,no,exist,90,0.05,0.05,1H
250.csv,additive,no,no,small,no,exist,90,0.05,0.05,1D
251.csv,additive,no,no,small,no,exist,60,0.05,0.05,8H
252.csv,additive,no,no,small,no,exist,365,0.05,0.05,6H
253.csv,additive,no,no,small,no,exist,270,0.05,0.05,1H
254.csv,additive,no,no,small,no,exist,240,0.05,0.05,6H
255.csv,additive,no,no,small,no,exist,365,0.05,0.05,10T
256.csv,additive,no,no,small,no,exist,300,0.05,0.05,10T
257.csv,multiplicative,exist,exist,small,exist,exist,120,0.05,0.05,30T
258.csv,multiplicative,exist,exist,small,exist,exist,60,0.05,0.05,30T
259.csv,multiplicative,exist,exist,small,exist,exist,90,0.05,0.05,1D
260.csv,multiplicative,exist,exist,small,exist,exist,150,0.05,0.05,6H
261.csv,multiplicative,exist,exist,small,exist,exist,150,0.05,0.05,10T
262.csv,multiplicative,exist,exist,small,exist,exist,330,0.05,0.05,30T
263.csv,multiplicative,exist,exist,small,exist,exist,300,0.05,0.05,1D
264.csv,multiplicative,exist,exist,small,exist,exist,60,0.05,0.05,30T
265.csv,multiplicative,exist,exist,small,exist,exist,240,0.05,0.05,1D
266.csv,multiplicative,exist,exist,small,exist,exist,240,0.05,0.05,6H
267.csv,multiplicative,exist,exist,small,exist,exist,210,0.05,0.05,1D
268.csv,multiplicative,exist,exist,small,exist,exist,330,0.05,0.05,30T
269.csv,multiplicative,exist,exist,small,exist,exist,150,0.05,0.05,10T
270.csv,multiplicative,exist,exist,small,exist,exist,90,0.05,0.05,30T
271.csv,multiplicative,exist,exist,small,exist,exist,330,0.05,0.05,8H
272.csv,multiplicative,exist,exist,small,exist,exist,210,0.05,0.05,30T
273.csv,additive,exist,exist,small,exist,exist,90,0.05,0.05,30T
274.csv,additive,exist,exist,small,exist,exist,210,0.05,0.05,30T
275.csv,additive,exist,exist,small,exist,exist,180,0.05,0.05,8H
276.csv,additive,exist,exist,small,exist,exist,210,0.05,0.05,30T
277.csv,additive,exist,exist,small,exist,exist,300,0.05,0.05,8H
278.csv,additive,exist,exist,small,exist,exist,90,0.05,0.05,1H
279.csv,additive,exist,exist,small,exist,exist,150,0.05,0.05,10T
280.csv,additive,exist,exist,small,exist,exist,240,0.05,0.05,8H
281.csv,additive,exist,exist,small,exist,exist,210,0.05,0.05,1H
282.csv,additive,exist,exist,small,exist,exist,270,0.05,0.05,6H
283.csv,additive,exist,exist,small,exist,exist,90,0.05,0.05,30T
284.csv,additive,exist,exist,small,exist,exist,90,0.05,0.05,1H
285.csv,additive,exist,exist,small,exist,exist,365,0.05,0.05,30T
286.csv,additive,exist,exist,small,exist,exist,300,0.05,0.05,6H
287.csv,additive,exist,exist,small,exist,exist,300,0.05,0.05,30T
288.csv,additive,exist,exist,small,exist,exist,330,0.05,0.05,6H
289.csv,multiplicative,exist,exist,small,exist,exist,240,0.05,0.05,1H
290.csv,multiplicative,exist,exist,small,exist,exist,270,0.05,0.05,30T
291.csv,multiplicative,exist,exist,small,exist,exist,90,0.05,0.05,8H
292.csv,multiplicative,exist,exist,small,exist,exist,180,0.05,0.05,8H
293.csv,multiplicative,exist,exist,small,exist,exist,210,0.05,0.05,1D
294.csv,multiplicative,exist,exist,small,exist,exist,60,0.05,0.05,1H
295.csv,multiplicative,exist,exist,small,exist,exist,240,0.05,0.05,1D
296.csv,multiplicative,exist,exist,small,exist,exist,240,0.05,0.05,30T
297.csv,multiplicative,exist,exist,small,exist,exist,150,0.05,0.05,1D
298.csv,multiplicative,exist,exist,small,exist,exist,120,0.05,0.05,10T
299.csv,multiplicative,exist,exist,small,exist,exist,150,0.05,0.05,1D
300.csv,multiplicative,exist,exist,small,exist,exist,60,0.05,0.05,30T
301.csv,multiplicative,exist,exist,small,exist,exist,60,0.05,0.05,1D
302.csv,multiplicative,exist,exist,small,exist,exist,330,0.05,0.05,8H
303.csv,multiplicative,exist,exist,small,exist,exist,330,0.05,0.05,10T
304.csv,multiplicative,exist,exist,small,exist,exist,330,0.05,0.05,6H
305.csv,additive,exist,exist,small,exist,exist,300,0.05,0.05,30T
306.csv,additive,exist,exist,small,exist,exist,240,0.05,0.05,30T
307.csv,additive,exist,exist,small,exist,exist,90,0.05,0.05,8H
308.csv,additive,exist,exist,small,exist,exist,90,0.05,0.05,8H
309.csv,additive,exist,exist,small,exist,exist,300,0.05,0.05,6H
310.csv,additive,exist,exist,small,exist,exist,300,0.05,0.05,6H
311.csv,additive,exist,exist,small,exist,exist,90,0.05,0.05,6H
312.csv,additive,exist,exist,small,exist,exist,180,0.05,0.05,30T
313.csv,additive,exist,exist,small,exist,exist,180,0.05,0.05,1H
314.csv,additive,exist,exist,small,exist,exist,60,0.05,0.05,6H
315.csv,additive,exist,exist,small,exist,exist,210,0.05,0.05,1H
316.csv,additive,exist,exist,small,exist,exist,180,0.05,0.05,30T
317.csv,additive,exist,exist,small,exist,exist,365,0.05,0.05,30T
318.csv,additive,exist,exist,small,exist,exist,180,0.05,0.05,10T
319.csv,additive,exist,exist,small,exist,exist,180,0.05,0.05,30T
320.csv,additive,exist,exist,small,exist,exist,365,0.05,0.05,10T
321.csv,multiplicative,exist,exist,small,no,exist,240,0.05,0.05,30T
322.csv,multiplicative,exist,exist,small,no,exist,300,0.05,0.05,8H
323.csv,multiplicative,exist,exist,small,no,exist,180,0.05,0.05,6H
324.csv,multiplicative,exist,exist,small,no,exist,300,0.05,0.05,1D
325.csv,multiplicative,exist,exist,small,no,exist,330,0.05,0.05,1H
326.csv,multiplicative,exist,exist,small,no,exist,120,0.05,0.05,8H
327.csv,multiplicative,exist,exist,small,no,exist,300,0.05,0.05,1H
328.csv,multiplicative,exist,exist,small,no,exist,150,0.05,0.05,30T
329.csv,multiplicative,exist,exist,small,no,exist,60,0.05,0.05,10T
330.csv,multiplicative,exist,exist,small,no,exist,300,0.05,0.05,8H
331.csv,multiplicative,exist,exist,small,no,exist,60,0.05,0.05,1D
332.csv,multiplicative,exist,exist,small,no,exist,330,0.05,0.05,6H
333.csv,multiplicative,exist,exist,small,no,exist,330,0.05,0.05,8H
334.csv,multiplicative,exist,exist,small,no,exist,300,0.05,0.05,6H
335.csv,multiplicative,exist,exist,small,no,exist,150,0.05,0.05,30T
336.csv,multiplicative,exist,exist,small,no,exist,90,0.05,0.05,1D
337.csv,additive,exist,exist,small,no,exist,240,0.05,0.05,30T
338.csv,additive,exist,exist,small,no,exist,180,0.05,0.05,1H
339.csv,additive,exist,exist,small,no,exist,90,0.05,0.05,10T
340.csv,additive,exist,exist,small,no,exist,330,0.05,0.05,30T
341.csv,additive,exist,exist,small,no,exist,270,0.05,0.05,30T
342.csv,additive,exist,exist,small,no,exist,300,0.05,0.05,6H
343.csv,additive,exist,exist,small,no,exist,90,0.05,0.05,30T
344.csv,additive,exist,exist,small,no,exist,120,0.05,0.05,30T
345.csv,additive,exist,exist,small,no,exist,365,0.05,0.05,1D
346.csv,additive,exist,exist,small,no,exist,240,0.05,0.05,30T
347.csv,additive,exist,exist,small,no,exist,240,0.05,0.05,1D
348.csv,additive,exist,exist,small,no,exist,90,0.05,0.05,6H
349.csv,additive,exist,exist,small,no,exist,300,0.05,0.05,1H
350.csv,additive,exist,exist,small,no,exist,90,0.05,0.05,8H
351.csv,additive,exist,exist,small,no,exist,210,0.05,0.05,8H
352.csv,additive,exist,exist,small,no,exist,365,0.05,0.05,30T
353.csv,multiplicative,exist,exist,small,no,exist,300,0.05,0.05,10T
354.csv,multiplicative,exist,exist,small,no,exist,365,0.05,0.05,8H
355.csv,multiplicative,exist,exist,small,no,exist,120,0.05,0.05,8H
356.csv,multiplicative,exist,exist,small,no,exist,150,0.05,0.05,6H
357.csv,multiplicative,exist,exist,small,no,exist,365,0.05,0.05,6H
358.csv,multiplicative,exist,exist,small,no,exist,150,0.05,0.05,1H
359.csv,multiplicative,exist,exist,small,no,exist,60,0.05,0.05,1H
360.csv,multiplicative,exist,exist,small,no,exist,240,0.05,0.05,1D
361.csv,multiplicative,exist,exist,small,no,exist,330,0.05,0.05,1H
362.csv,multiplicative,exist,exist,small,no,exist,330,0.05,0.05,8H
363.csv,multiplicative,exist,exist,small,no,exist,240,0.05,0.05,10T
364.csv,multiplicative,exist,exist,small,no,exist,210,0.05,0.05,6H
365.csv,multiplicative,exist,exist,small,no,exist,90,0.05,0.05,10T
366.csv,multiplicative,exist,exist,small,no,exist,270,0.05,0.05,8H
367.csv,multiplicative,exist,exist,small,no,exist,240,0.05,0.05,30T
368.csv,multiplicative,exist,exist,small,no,exist,300,0.05,0.05,1H
369.csv,additive,exist,exist,small,no,exist,150,0.05,0.05,8H
370.csv,additive,exist,exist,small,no,exist,180,0.05,0.05,6H
371.csv,additive,exist,exist,small,no,exist,300,0.05,0.05,8H
372.csv,additive,exist,exist,small,no,exist,150,0.05,0.05,1H
373.csv,additive,exist,exist,small,no,exist,120,0.05,0.05,8H
374.csv,additive,exist,exist,small,no,exist,270,0.05,0.05,1D
375.csv,additive,exist,exist,small,no,exist,240,0.05,0.05,1H
376.csv,additive,exist,exist,small,no,exist,150,0.05,0.05,1H
377.csv,additive,exist,exist,small,no,exist,270,0.05,0.05,6H
378.csv,additive,exist,exist,small,no,exist,60,0.05,0.05,6H
379.csv,additive,exist,exist,small,no,exist,180,0.05,0.05,1H
380.csv,additive,exist,exist,small,no,exist,330,0.05,0.05,6H
381.csv,additive,exist,exist,small,no,exist,90,0.05,0.05,10T
382.csv,additive,exist,exist,small,no,exist,90,0.05,0.05,8H
383.csv,additive,exist,exist,small,no,exist,150,0.05,0.05,30T
384.csv,additive,exist,exist,small,no,exist,300,0.05,0.05,1H
385.csv,multiplicative,exist,no,small,exist,exist,240,0.05,0.05,10T
386.csv,multiplicative,exist,no,small,exist,exist,300,0.05,0.05,10T
387.csv,multiplicative,exist,no,small,exist,exist,270,0.05,0.05,1D
388.csv,multiplicative,exist,no,small,exist,exist,300,0.05,0.05,8H
389.csv,multiplicative,exist,no,small,exist,exist,270,0.05,0.05,10T
390.csv,multiplicative,exist,no,small,exist,exist,60,0.05,0.05,10T
391.csv,multiplicative,exist,no,small,exist,exist,60,0.05,0.05,10T
392.csv,multiplicative,exist,no,small,exist,exist,300,0.05,0.05,8H
393.csv,multiplicative,exist,no,small,exist,exist,300,0.05,0.05,1D
394.csv,multiplicative,exist,no,small,exist,exist,180,0.05,0.05,1D
395.csv,multiplicative,exist,no,small,exist,exist,210,0.05,0.05,8H
